word, count
abortion , 21116
s , 16413
prolife , 15743
life , 13179
rt , 9434
pro , 6915
parenthood , 5462
planned , 4782
women , 4588
baby , 4388
via , 3910
will , 3869
can , 3327
today , 3289
babies , 3214
us , 3058
new , 2797
ppact , 2734
human , 2674
abortions , 2583
saved , 2479
one , 2437
day , 2371
thanks , 2294
daily , 2247
children , 2245
now , 2184
prochoice , 2168
unborn , 2031
people , 1998
pregnancy , 1941
child , 1941
right , 1891
re , 1840
don , 1839
just , 1795
support , 1761
praying , 1734
stories , 1690
god , 1627
every , 1586
prolifeyouth , 1540
bill , 1518
trump , 1516
get , 1515
catholic , 1509
law , 1504
time , 1487
number , 1479
video , 1466
2 , 1435
like , 1433
prayer , 1423
love , 1419
woman , 1418
health , 1400
1 , 1383
rights , 1336
court , 1323
know , 1309
need , 1289
make , 1270
help , 1254
lives , 1250
plannedparenthood , 1235
says , 1231
see , 1190
want , 1184
year , 1180
care , 1170
end , 1143
defundpp , 1141
clinic , 1125
let , 1121
3 , 1111
news , 1102
must , 1092
great , 1052
live , 1044
aus , 1029
born , 1028
scotus , 1025
ppsellsbabyparts , 1021
m , 1018
mother , 990
vote , 978
first , 974
family , 967
never , 947
join , 947
days , 945
president , 942
please , 937
good , 923
death , 923
say , 909
choice , 906
world , 904
gt , 902
go , 894
abortion , 20971
s , 14862
rt , 13960
women , 10392
us , 4297
can , 4113
via , 3873
access , 3513
re , 3326
will , 3278
choice , 3181
people , 3005
today , 2899
support , 2884
rights , 2729
health , 2719
care , 2575
new , 2528
need , 2434
get , 2400
just , 2312
help , 2271
day , 2217
woman , 2201
now , 2178
one , 2155
abortions , 2123
right , 2069
abortionfunds , 2058
ireland , 2002
thanks , 1957
make , 1934
like , 1933
thank , 1831
don , 1742
anti , 1706
safe , 1688
reproductive , 1648
time , 1643
know , 1592
repealthe8th , 1543
life , 1541
join , 1523
m , 1498
law , 1472
want , 1440
love , 1438
2 , 1436
work , 1431
great , 1413
w , 1387
pro , 1373
reprorights , 1356
see , 1304
3 , 1278
dcabortionfund , 1264
trump , 1254
1 , 1254
go , 1218
story , 1206
clinic , 1170
year , 1157
read , 1121
legal , 1113
state , 1111
much , 1080
good , 1064
ve , 1058
pregnancy , 1055
funds , 1053
still , 1027
news , 1023
justice , 1012
many , 1005
stigma , 999
irish , 997
prochoice , 996
check , 988
week , 983
let , 971
stories , 969
nyaaf , 968
laws , 955
every , 929
please , 916
must , 913
fund , 912
texas , 897
going , 892
black , 885
last , 883
says , 882
wholewomans , 881
share , 877
freesafelegal , 877
years , 874
take , 867
say , 853
think , 849
stopthesham , 849
200
hashtag, count
prolife , 15216
abortion , 5213
prochoice , 2146
plannedparenthood , 1226
pregnancy , 1188
defundpp , 1139
prolifeyouth , 1076
aus , 1020
ppsellsbabyparts , 1018
catholic , 909
marchforlife , 720
qldpol , 715
prolifert , 700
qld , 642
whywemarch , 573
scotus , 533
prolifegen , 494
auspol , 481
40daysforlife , 467
praytoendabortion , 467
protestpp , 411
gosnell , 327
tcot , 327
downsyndrome , 319
istandwithpfl , 305
voteprolife , 287
theyfeelpain , 265
loveboth , 260
repealthe8th , 254
chooselife , 245
savethebabyhumans , 233
life , 231
prayer , 228
jesus , 226
40daysunited , 212
stopabortion , 209
assistedsuicide , 208
parenting , 204
adoption , 202
gopdebate , 199
100yearsofabuse , 185
itsnot1899 , 179
prolifeyouthrt , 172
disability , 172
teamlife , 161
humanrights , 158
womenshealth , 154
icommittoprayread , 146
christian , 145
usa , 144
vigil4life , 140
endabortion , 140
uk , 135
constantcontact , 132
family , 131
periscope , 126
pray , 121
euthanasia , 119
openthebigtent , 119
lifeisprecious , 117
mentalhealth , 113
hb2 , 109
tbt , 107
ppsellsbabypartsrt , 106
abortions , 105
ccot , 105
prowoman , 102
supportpregnantwomen , 101
letthemserve , 101
100prolifethings , 98
9daysforlife , 97
prolifethe , 93
auspolrt , 92
noabortioncoercion , 91
confirmgorsuch , 90
prolifegeneration , 89
protectthemboth , 84
hhsmandate , 84
nevertrump , 83
roevwade , 82
lgbt , 82
antenatalcare , 81
abortionrt , 80
lifeequality , 77
trump , 76
election2016 , 75
simpletruth , 75
texas , 75
obamacare , 75
womenbetrayed , 74
rt , 73
love , 73
1 , 73
safeandlegal , 71
hellohyde , 70
standwithcathy , 69
defundplannedparenthood , 69
anotherboy , 69
standwithpp , 69
plc2015 , 69
abortion , 1806
repealthe8th , 1535
prochoice , 878
stopthesham , 847
beboldendhyde , 761
reprojustice , 665
shoutyourabortion , 467
scotus , 405
reprorights , 400
access4all , 366
standwithpp , 318
prolife , 310
fightbacktx , 301
givingtuesday , 296
sept28 , 286
safeabortion , 262
ff , 257
hb2 , 247
fem2 , 247
trustwomen , 242
bowl14 , 235
notacriminal , 233
bowl15 , 214
ireland , 212
wetestify , 210
balls4dcaf , 207
endstigma , 204
womensmarch , 202
reprohealth , 198
demsinphilly , 193
fundabortionbuildpower , 188
tacoorbeerchallenge , 178
ncga , 176
bowl16 , 165
citizensassembly , 160
tobc16 , 154
abortionrights , 154
mydecision , 153
access , 143
prochoiceandproud , 142
bowl13 , 140
nyaafbowl14 , 137
prolifewomen16 , 135
blacklivesmatter , 133
humanrights , 132
tobc15 , 128
hb695 , 127
abortionaccess , 127
choice , 125
repealthe8thrt , 125
savita , 124
lpjlplayoftheday , 123
cedawirl , 122
nc , 121
stoptheshamrt , 118
solidarity , 115
united4coverage , 114
plannedparenthood , 114
roevwade , 113
nn16 , 112
bowl17 , 111
choice4xmas , 111
1in3 , 110
repealbill , 108
4eachofus , 107
debate , 104
thenextlevel , 104
snowvwade , 102
1in3speaks , 102
txlege , 100
games4dcaf , 99
sb353 , 99
women , 97
feminism , 96
reprojusticert , 93
wewontgoback , 90
womenshealth , 90
tbt , 90
may28 , 89
v2v15 , 89
stopthebans , 89
birthcontrol , 88
prochoicert , 88
standwithncwomen , 86
beboldendhydert , 84
feminist , 82
reclaimroe , 81
togetherforabortion , 81
nyc , 80
hr7 , 78
texas , 78
marchforchoice , 77
iccpr , 76
abortionstigma , 76
takeroot16 , 76
prochoicenz , 75
motorcyclevagina , 75
freesafelegal , 74
stigma , 74
srhr , 73
